date,description,amount
2024-01-01,Salary Credit from Company,75000
2024-01-03,Swiggy Order,850
2024-01-05,Amazon Purchase,3200
2024-01-07,Uber Ride,450
2024-01-09,Electricity Bill,2100
2024-01-12,Netflix Subscription,649
2024-01-15,Petrol Pump,2800
2024-01-18,Restaurant Dinner,1900
2024-01-22,Zomato Order,720
2024-01-25,Flipkart Shopping,5400
2024-01-28,Gas Bill,1800
2024-02-01,Salary Credit from Company,75000
2024-02-03,Swiggy Order,920
2024-02-06,Amazon Purchase,4100
2024-02-09,Uber Ride,500
2024-02-11,Electricity Bill,2300
2024-02-14,Movie Ticket,850
2024-02-17,Petrol Pump,2600
2024-02-20,Myntra Shopping,6800
2024-02-23,Zomato Order,760
2024-02-25,Water Bill,1200
2024-03-01,Salary Credit from Company,75000
2024-03-04,Swiggy Order,880
2024-03-07,Amazon Purchase,5000
2024-03-10,Uber Ride,530
2024-03-12,Electricity Bill,2400
2024-03-15,Netflix Subscription,649
2024-03-18,Petrol Pump,2900
2024-03-21,Restaurant Dinner,2100
2024-03-25,Flipkart Shopping,4500
2024-03-28,Gas Bill,1750
2024-04-01,Salary Credit from Company,78000
2024-04-04,Swiggy Order,990
2024-04-06,Amazon Purchase,6200
2024-04-09,Uber Ride,480
2024-04-12,Electricity Bill,2500
2024-04-15,Hotstar Subscription,899
2024-04-18,Petrol Pump,3100
2024-04-21,Myntra Shopping,7200
2024-04-25,Zomato Order,840
2024-04-28,Recharge Bill,699
2024-05-01,Salary Credit from Company,78000
2024-05-03,Swiggy Order,870
2024-05-06,Amazon Purchase,3500
2024-05-09,Uber Ride,550
2024-05-12,Electricity Bill,2700
2024-05-14,Movie Ticket,950
2024-05-18,Petrol Pump,3300
2024-05-21,Restaurant Dinner,2500
2024-05-24,Flipkart Shopping,8900
2024-05-28,Gas Bill,2000
2024-06-01,Salary Credit from Company,80000
2024-06-03,Swiggy Order,910
2024-06-06,Amazon Purchase,7600
2024-06-09,Uber Ride,600
2024-06-12,Electricity Bill,2600
2024-06-15,Netflix Subscription,649
2024-06-18,Petrol Pump,3400
2024-06-21,Myntra Shopping,9500
2024-06-25,Zomato Order,820
2024-06-29,Water Bill,1300
2024-07-01,Salary Credit from Company,80000
2024-07-04,Swiggy Order,1000
2024-07-06,Amazon Purchase,12000
2024-07-09,Uber Ride,620
2024-07-12,Electricity Bill,3000
2024-07-15,Movie Ticket,1000
2024-07-18,Petrol Pump,3600
2024-07-20,Restaurant Dinner,2800
2024-07-24,Flipkart Shopping,15000
2024-07-28,Gas Bill,2100
2024-08-01,Salary Credit from Company,82000
2024-08-03,Swiggy Order,950
2024-08-06,Amazon Purchase,18000
2024-08-09,Uber Ride,700
2024-08-12,Electricity Bill,3100
2024-08-15,Hotstar Subscription,899
2024-08-18,Petrol Pump,3700
2024-08-21,Myntra Shopping,22000
2024-08-25,Zomato Order,900
2024-08-28,Recharge Bill,699
2024-09-01,Salary Credit from Company,82000
2024-09-03,Swiggy Order,870
2024-09-06,Amazon Purchase,25000
2024-09-09,Uber Ride,750
2024-09-12,Electricity Bill,3300
2024-09-15,Netflix Subscription,649
2024-09-18,Petrol Pump,3900
2024-09-21,Restaurant Dinner,3200
2024-09-25,Flipkart Shopping,27000
2024-09-28,Gas Bill,2300
2024-10-01,Salary Credit from Company,85000
2024-10-05,Amazon Purchase,60000
2024-10-10,Myntra Shopping,45000
2024-10-15,Petrol Pump,4000
2024-10-20,Electricity Bill,3500
2024-10-25,Zomato Order,980
2024-11-01,Salary Credit from Company,85000
2024-11-05,Swiggy Order,920
2024-11-10,Amazon Purchase,15000
2024-11-15,Uber Ride,800
2024-11-20,Electricity Bill,3600
2024-11-25,Flipkart Shopping,18000
2024-12-01,Salary Credit from Company,90000
2024-12-05,Amazon Purchase,75000
2024-12-10,Myntra Shopping,55000
2024-12-15,Petrol Pump,4200
2024-12-20,Restaurant Dinner,5000
2024-12-28,Amazon Refund,-5000
2025-01-01,Salary Credit from Company,95000
2025-01-05,Swiggy Order,1000
2025-01-10,Amazon Purchase,20000
2025-01-15,Electricity Bill,3800
2025-01-20,Flipkart Shopping,25000
2025-02-01,Salary Credit from Company,95000
2025-02-05,Swiggy Order,1100
2025-02-10,Amazon Purchase,30000
2025-02-15,Uber Ride,900
2025-02-20,Gas Bill,2400
2025-03-01,Salary Credit from Company,100000
2025-03-05,Swiggy Order,1200
2025-03-10,Amazon Purchase,85000
2025-03-15,Petrol Pump,4500
2025-03-20,Electricity Bill,4000
